Date,Open,High,Low,Close,Adj Close,Volume
2015-05-04,4491.189941,4510.470215,4480.850098,4482.609863,4482.609863,1668200000
2015-05-05,4464.209961,4472.229980,4407.270020,4409.390137,4409.390137,2069490000
2015-05-06,4420.299805,4429.959961,4349.930176,4379.750000,4379.750000,2144620000
2015-05-07,4377.810059,4413.729980,4373.290039,4401.549805,4401.549805,2042960000
2015-05-08,4445.000000,4466.169922,4441.729980,4458.649902,4458.649902,1978760000
2015-05-11,4457.620117,4468.750000,4437.529785,4438.640137,4438.640137,1731390000
2015-05-12,4412.819824,4441.399902,4380.520020,4420.649902,4420.649902,1705870000
2015-05-13,4436.080078,4460.540039,4421.750000,4426.560059,4426.560059,1672260000
2015-05-14,4461.069824,4496.250000,4448.379883,4495.040039,4495.040039,1741970000
2015-05-15,4505.390137,4509.129883,4482.549805,4494.290039,4494.290039,1667260000
2015-05-18,4487.140137,4521.009766,4483.759766,4512.950195,4512.950195,1643870000
2015-05-19,4514.669922,4521.850098,4498.529785,4503.720215,4503.720215,1750980000
2015-05-20,4505.589844,4533.919922,4484.520020,4505.299805,4505.299805,1786830000
2015-05-21,4499.419922,4537.279785,4495.390137,4529.470215,4529.470215,1683670000
2015-05-22,4522.859863,4542.459961,4522.609863,4527.160156,4527.160156,1544920000
2015-05-26,4516.629883,4521.850098,4456.759766,4472.959961,4472.959961,1731950000
2015-05-27,4488.049805,4551.529785,4479.740234,4546.060059,4546.060059,1809550000
2015-05-28,4537.479980,4548.240234,4523.549805,4535.660156,4535.660156,1741420000
2015-05-29,4532.149902,4539.569824,4499.649902,4508.250000,4508.250000,2024170000
2015-06-01,4530.029785,4535.430176,4488.169922,4521.850098,4521.850098,1902120000
2015-06-02,4503.759766,4531.080078,4486.189941,4508.890137,4508.890137,1729750000
2015-06-03,4531.040039,4539.350098,4512.439941,4519.859863,4519.859863,1852680000
2015-06-04,4501.729980,4526.209961,4475.049805,4487.029785,4487.029785,1813960000
2015-06-05,4483.430176,4493.430176,4452.319824,4477.189941,4477.189941,1842890000
2015-06-08,4476.689941,4477.830078,4423.799805,4431.509766,4431.509766,1712210000
